,Type,Tweet,Explanation
43,NormalNormalHate,chloe start a lesbian era i dare you,"

The tweet is telling the singer Chloe to start a ""lesbian era,"" presumably meaning for her to produce music that is aimed at the lesbian community."
44,NormalNormalHate,<user> the amount of times i tweeted faggot uncensored i am still here shit kinda of wild 💀,"

The tweet is referencing the fact that the person has tweeted the word ""faggot"" multiple times without being censored or banned from Twitter. They seem to find it surprising that they are still allowed on the platform."
45,NormalNormalHate,<user> young boy ain t nigger music it nigga music,"

The tweet is in response to a music video by the rapper Lil Nas X, in which he uses the word ""nigger"" throughout the song. The person tweets that this is not ""nigger music,"" it is ""nigga music."""
46,NormalNormalHate,<user> white claw white devil,"

The context of the tweet is that the person is making a joke about how White Claw is the ""white devil."""
47,NormalNormalHate,<user> <user> i hate you,"

The context of the tweet is that the person is arguing with another user and telling them that they hate them."
48,NormalNormalHate,<user> lmao im finna b a dyke <number>,"

The tweet appears to be a joke about the person becoming a lesbian."
49,NormalNormalHate,why niggas worry bout me when i do not even checc on them faggots,"

The tweet appears to be making a joke about how people worry too much about others when they should not bother because those others are not worth their time or attention."
50,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,"

The tweet is referring to the death of Mollie Tibbetts, an American college student who was killed by an undocumented immigrant. The person who wrote the tweet is expressing their anger about the situation and calling for stricter enforcement of immigration laws."
51,NormalHateHate,<user> how many zionist jews die,"

The tweet is asking how many Zionist Jews have died."
52,NormalHateHate,some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha,"

The tweet is making a joke about how Chinese people supposedly speak in a very broken English."
53,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo,"

The tweet is written in a derogatory and racist manner towards black people."
54,NormalHateHate,<user> <user> <user> atleast ur country is secular pakistan is a muslim country nd they produces terrorists,"

The tweet is criticizing Pakistan for being a Muslim country and for producing terrorists."
55,NormalHateHate,<user> <user> you can also decide not to like the niggeress too 🤷 🏽 ‍ ♀️,"

The tweet is in response to someone who said they didn't like the new black Barbie doll. The person who made the original tweet said that they could also choose not to like the ""niggeress,"" using a derogatory term for black women."
56,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that,"

The tweet is making a derogatory comment about black people and saying that the person would kill them all if they could."
57,NormalHateHate,<user> <user> check out the hook nose on flake,"

The tweet is referring to a picture of Senator Jeff Flake (R-AZ) with Israeli Prime Minister Benjamin Netanyahu. The user is pointing out the hook shape of Flake's nose, which is a common stereotype of Jewish people."
58,NormalHateHate,skrt skrt skrt sirop stripper pole fuck with us this nigger forever,"

The tweet is a rap lyrics that includes a profanity and a derogatory term for black people."
59,NormalHateHate,<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭,"

The tweet appears to be a message from one user to another, saying that they hate the second user. The message is written in a joking, sarcastic tone."
60,NormalHateHate,is it ok for white people to use the word nigger,"

There is no context given in the tweet, so it is difficult to say. It could be a genuine question about whether or not it is acceptable to use the word, or it could be a deliberate provocation."
61,NormalHateHate,duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb,"

The tweet is criticizing K-pop fans for fetishizing Asians."
62,NormalHateHate,<user> supporting terrorists wont get you anywhere so stop playing victim muzzie game,"

The tweet is responding to the recent terrorist attacks in Pakistan. The user is saying that Pakistan is a jihadi terrorist country and that they need to stop playing the victim."
63,NormalHateHate,i did not expect something kike that holy shit i t looks so good,"

The tweet is in response to a video of a man cooking a steak. The person says they did not expect the steak to look so good, and they use the word ""kike"" as an adjective to describe it. This could be interpreted as a derogatory comment about Jewish people."
64,NormalHateHate,<user> will a porch monkey banana suffice,"

The tweet is making a derogatory comment about black people."
65,NormalHateHate,niggers whom st release seminal fluid,"

The tweet is making a derogatory comment about black people."
66,NormalHateHate,this nigger just saved the uk,"

The tweet is referring to the fact that a black man saved a white woman from being attacked by a racist in the UK."
67,NormalHateHate,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering,"

The tweet is asking Netflix if they will be releasing a homosexual movie about the prophet Muhammad in time for the Islamic holiday of Eid."
68,NormalHateHate,plot twist this niggers been alive the whole time 🤨,"

The tweet is making a joke about how black people are often killed by police, even though they are innocent."
69,NormalHateHate,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie,"

The tweet is from a user who believes that the Holocaust is a big lie. They say that there is no evidence to support the Holocaust ever happening."
70,NormalHateHate,towel head ass,"

The tweet is a derogatory comment about someone of Middle Eastern descent."
71,NormalHateHate,stg i fucking hate white girls yo,"

The tweet is expressing hatred towards white girls."
72,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name,"

The tweet is referring to the fact that there are many Pakistanis who use fake names in order to avoid being detected as terrorists."
73,NormalHateHate,niki is a faggot i love them,"

The tweet is a declaration of love for the person known as ""Niki,"" who is presumably a gay man."
74,NormalHateHate,fuck them white kids,"

The tweet is a profanity-laden rant directed at white children."
75,HateHateHate,<user> stupid nigger kill yourself,"

The tweet is a racist remark directed at someone the user considers to be a ""stupid nigger."""
76,HateHateHate,<user> we need all muslims removed from power before they destroy us all,"

The tweet is referencing the fact that Muslims are in positions of power in many countries around the world, and that the person believes they pose a threat to the rest of humanity."
77,HateHateHate,<user> <user> get this nigger out of here,"

The tweet is telling someone to get a black person out of their location. This is a clear example of racism."
78,HateHateHate,<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩,"

The tweet is in reference to an article about a woman who was raped by two men in a Trump hotel room. The person who tweeted this is expressing their anger at the situation and calling for the woman to be raped."
79,HateHateHate,<user> <user> lmao larry are you a nigger,"

The tweet is asking if the user is a ""nigger,"" which is a derogatory term for a black person."
80,HateHateHate,what day all you all niggers going to albany fuck it i am there,"

The tweet is referencing the ""All Out Albany"" event that was held in response to the police killing of George Floyd. The person seems to be indicating that they will be attending the event, and using a derogatory term for black people."
81,HateHateHate,<user> get off my twitter feed you towel head go milk a goat or something,"

The tweet is telling someone to leave their Twitter feed, using a derogatory term for someone of Arab descent."
82,HateHateHate,god of israel is a faggot he a joke,"

The tweet is making a derogatory comment about the god of Israel, calling him a ""faggot"" and saying that he is a joke."
83,HateHateHate,fuck you bitch ass niggers,"

The tweet is a profanity-laden message directed at black people."
84,HateHateHate,i cant fckn stand the towelhead,"

The tweet is making a derogatory comment about someone of Middle Eastern descent."
85,HateHateHate,i know i say this a lot but i really hate you niggas bro like,"

The context of the tweet is that the person hates black people, and they use the word ""nigga"" in a derogatory way."
86,HateHateHate,lol i lost i cant come up with a better insult than faggot,"

The tweet is referencing a situation where the person was unable to come up with a better insult than ""faggot."""
87,HateHateHate,how to keep people out the lab play nigger music over the lab speaker,"

The tweet is suggesting that playing music by black artists will help to keep people out of the laboratory. This is likely a racist comment."
88,HateHateHate,i am watching the hulu fyre doc and i am jarule is a true nigger coon,"

The tweet is referencing the Hulu documentary ""Fyre,"" which is about the disastrous Fyre Festival. The person tweeting says that they believe Ja Rule, one of the organizers of the festival, is a ""true nigger coon."""
89,HateHateHate,<user> you fucking nigger,"

The tweet is a racist remark directed at a specific user."
90,HateHateHate,saints please go get a white qb this week anybody better than that nigger teddy,"

The tweet is asking for the New Orleans Saints to get a new quarterback, preferably one who is white, because the current quarterback, Teddy Bridgewater, is black."
91,HateHateHate,you niggers blow my mind,"

The tweet is a racist remark directed at black people."
92,HateHateHate,u niggers r coonin for that kanye shit,"

The tweet is referencing the fact that Kanye West has been wearing a MAGA hat and has been making pro-Trump statements. The person who wrote the tweet is saying that African Americans who support Kanye West are ""coonin'"" (a derogatory term meaning ""acting like a clown"") for doing so."
93,HateHateHate,<user> where your ravens stuff trash ass niggers,"

The tweet is referencing the NFL team the Baltimore Ravens, and how they are composed of ""trash ass niggers."" This is clearly a derogatory comment and is likely meant to be offensive."
94,HateHateHate,<user> leave me alone porch monkey lol,"

The tweet is likely a racist remark directed at the user, calling them a ""porch monkey"" which is a derogatory term used to refer to black people."
95,HateHateHate,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct,"

The tweet is referencing the fact that the South Korean boy band NCT is very popular, and that many people want to be like them. The word ""nigger"" is used here as a derogatory term for black people."
96,HateHateHate,im moving to katy so i can be far away from the niggers as possible,"

The tweet is saying that the person is moving to Katy, Texas, because they want to be as far away from black people as possible."
97,HateHateHate,on god ion like white women niggers move,"

The tweet appears to be making a derogatory comment about white women and saying that black men should only date black women."
98,HateHateHate,wow do not all speak at once niggers,"

The tweet is racist and derogatory, and is intended to demean and degrade black people."
99,HateHateHate,rosie o ching chong wing wong i hate chinks donnell,"

The tweet is making a racist remark about Chinese people, specifically about how Rosie O'Donnell is supposedly a ""ching chong wing wong"" and how the person hates ""chinks."""
