,Type,Tweet,Explanation
27,NormalNormalHate,nigga retard an faggot <number> words that will get people angry they are words get over it,"

1. ""Nigga"" is a racial slur that is used to dehumanize and degrade black people. 

2. ""Retard"" is a ableist slur that is used to dehumanize and degrade people with disabilities. 

3. ""Faggot"" is a homophobic slur that is used to dehumanize and degrade LGBTQ+ people. 

4. The tweeter is saying that these are just words, and that people should get over it. This is dismissive and insensitive. It's clear that the tweeter doesn't understand how hurtful these words can be. 

In conclusion, this tweet is hateful because it uses racial, ableist, and homophobic slurs. It's also dismissive of the harm that these words can cause."
28,NormalNormalHate,trailer trash white people are embarassing as hell,"

1. ""Trailer trash"" is a derogatory term used to describe poor white people. 

2. ""White people"" is a generalization. 

3. ""are embarrassing as hell"" - this is a value judgment. The tweeter is saying that they think trailer trash white people are embarrassing. 

This tweet is racist and classist. It's dehumanizing and insulting to poor white people."
29,NormalNormalHate,dykes has joined og for the first time <user>,"

The tweet is saying that a person who is a lesbian has joined a group called ""og."" This is probably meant to be derogatory, as the term ""dyke"" is often used as an insult. 

This tweet is hateful because it is insulting and degrading to lesbians. It's perpetuating the idea that lesbians are somehow inferior to heterosexuals, and that they are not worthy of respect."
30,NormalNormalHate,all these niggas is parrots,"

1. ""All these niggas"" - this is a generalization which is already racist. He's lumping all black people together and making a negative statement about them. 

2. ""is parrots"" - he's implying that black people are unintelligent and that they only repeat what they hear. This is a stereotype that has been used to justify discrimination and violence against black people for centuries."
31,NormalNormalHate,<user> i hate you,"

This tweet is simply stating that the user hates someone. It's not making any specific claims about why they hate the person, so it's not hateful in that sense. However, hate is never a good thing, so this tweet is still hateful because it's promoting hate."
32,NormalNormalHate,<user> kids hate you same shit,"

The tweeter is saying that the user's kids hate them, and that this is the same as the user's shit. This is a degrading and insulting comparison. It's intended to hurt the user and to make them feel bad about themselves."
33,NormalNormalHate,<user> real nigga ong 😪,"

1. ""Real nigga"" - this is a term that is often used by black people to describe other black people who are considered to be authentic or ""true"" to their race. 

2. ""ong"" - this is a term that is often used by black people to describe someone who is sad or angry. 

3. "" 😪"" - this is an emoji that conveys sadness. 

So, this tweet is basically saying that the user is a sad and angry black person. This is a stereotype that is often used to dehumanize and devalue black people."
34,NormalNormalHate,<user> ❝ i hate you so fucking much max you better not talk about this with anyone ❞,"

1. ""i hate you so fucking much"" - this is a clear statement of hate. There's no ambiguity here. 

2. ""max you better not talk about this with anyone"" - this is a threat. The person who wrote this tweet is threatening to hurt Max if he tells anyone about what happened. This is a clear example of online harassment."
35,NormalNormalHate,breona that my dyke 🤣,"

1. ""Breona"" is likely the name of a person. 
2. ""That my dyke"" - this is a homophobic slur. He's calling Breona a lesbian in a derogatory way. 
3. ""🤣"" - this is a laughing emoji, which suggests that he thinks it's funny that Breona is a lesbian. 

This tweet is hateful because it uses a homophobic slur in a derogatory way, and because it suggests that the person thinks it's funny that someone is a lesbian."
36,NormalNormalHate,if you dump me because i cut my hair you are a bitch,"

The person who wrote this tweet is saying that if their partner breaks up with them because they changed their hairstyle, then that partner is a ""bitch."" 

This is an example of controlling behavior. The person is saying that their partner has to accept them exactly as they are, and if they don't, then they are somehow wrong or bad. This tweet is hateful because it's trying to control how someone else feels."
37,NormalNormalHate,<user> its probably indonesian malaysian muslims who retweeted it,"

1. ""It's probably indonesian malaysian muslims who retweeted it"" - this is a racist statement. It's implying that all Indonesian and Malaysian Muslims are responsible for the retweet, even though we don't know who actually retweeted it. 

2. It's also Islamophobic because it's suggesting that Indonesian and Malaysian Muslims are somehow responsible for whatever the tweet is about, even though we don't know what the tweet is about. 

3. It's perpetuating the stereotype that all Muslims are responsible for the actions of a few. This is not only racist but also Islamophobic."
38,NormalNormalHate,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time,"

This tweet is hateful because it downplays the seriousness of Nazi ideology. The tweeter is suggesting that the only reason to worry about Nazis is because they might say something offensive on Twitter. But the reality is that Nazis are a very real and dangerous threat. They advocate for white supremacy and bigotry, and they have a history of violence. 

This tweet is also hateful because it suggests that the only reason to worry about Nazis is because they might say something offensive on Twitter. But the reality is that Nazis are a very real and dangerous threat. They advocate for white supremacy and bigotry, and they have a history of violence."
39,NormalNormalHate,<user> why eat hot pockets when you can eat ass preferably nigger ass 👍,"

1. ""Nigger"" is a racial slur that is used to dehumanize and degrade black people. 

2. ""Ass"" is a vulgar word for the buttocks. 

3. ""Preferably nigger ass"" - this is a clear statement of preference for black people's buttocks, which is objectifying and dehumanizing. 

4. The 👍 emoji at the end suggests that the tweeter approves of this statement, which makes it even more clear that they are endorsing the objectification and dehumanization of black people."
40,NormalNormalHate,<user> no piss off i hate you,"

The tweet is simply telling the user to ""piss off"" and that the tweeter ""hates"" them. This is a clear example of hate speech. It's not just a negative statement, but it's a statement of hatred."
41,NormalNormalHate,<user> i hate you,"

1. ""I hate you"" is a pretty clear statement of hatred. 

2. <user> is the person who the tweeter is addressing. 

3. This tweet is hateful because it's a clear statement of hatred directed at another user."
42,NormalNormalHate,<user> my bad comparing the great ian curtis to some porch monkey is sac religious damn i miss his songwriting,"

1. ""My bad comparing the great ian curtis to some porch monkey"" - this is a racist statement. He's comparing a black person to a monkey, which is a well-known racist slur. 

2. ""is sac religious"" - this is an inflammatory statement. He's saying that it's sacrilegious to compare Ian Curtis to a black person. 

3. ""damn i miss his songwriting"" - this is a tone-deaf statement. He's saying that he misses Ian Curtis's songwriting, which is insensitive considering that Curtis killed himself. 

In conclusion, this tweet is hateful because it's racist, inflammatory, and tone-deaf."
43,NormalNormalHate,chloe start a lesbian era i dare you,"

This tweet is telling Chloe to start a ""lesbian era."" This is homophobic because it's implying that being a lesbian is something that needs to be started, as if it's a new trend. It's also telling Chloe that she needs to be a lesbian for other people, which is not only homophobic but also sexist. It's implying that Chloe's only purpose is to please other people, and that she doesn't have the agency to make her own decisions about her sexuality."
44,NormalNormalHate,<user> the amount of times i tweeted faggot uncensored i am still here shit kinda of wild 💀,"

The person who wrote this tweet has used the word ""faggot"" multiple times, and they are saying that they are still here despite using this slur. This suggests that they think there is nothing wrong with using this word, and that it's not a big deal. 

This is clearly a hateful statement. The word ""faggot"" is a slur that is used to describe gay men. It's a word that is used to dehumanize and insult gay men, and it's not acceptable to use. This tweet is hateful because it celebrates the use of a slur."
45,NormalNormalHate,<user> young boy ain t nigger music it nigga music,"

1. ""Young boy"" - this is a generalization and therefore already sexist. He's lumping all women together and making a negative statement about them. 

2. ""ain't nigger music"" - this is a degrading statement that is racist and dehumanizing. He's saying that music made by black people is not real music, and that it's only fit for ""niggers."" 

3. ""it nigga music"" - he's reaffirming the previous statement and making it clear that he thinks black people and their music are inferior."
46,NormalNormalHate,<user> white claw white devil,"

1. ""White claw"" is a type of alcohol. 

2. ""White devil"" is a racist term used to describe white people. 

So, this tweet is saying that white people are like alcohol: they're addictive and they're bad for you. This is a racist statement that dehumanizes and insults white people."
47,NormalNormalHate,<user> <user> i hate you,"

The tweet is simply saying ""I hate you."" It's a statement of hatred, pure and simple. There's no other explanation needed."
48,NormalNormalHate,<user> lmao im finna b a dyke <number>,"

1. ""lmao"" - this is an abbreviation for ""laughing my ass off."" So, the person who wrote this tweet is laughing at the idea of becoming a lesbian. 

2. ""im finna b a dyke"" - this is a slang term for a lesbian. So, the person who wrote this tweet is saying that they are going to become a lesbian. 

3. ""<number>"" - this is a numerical value. So, the person who wrote this tweet is saying that they are going to become a lesbian when they are <number> years old. 

This tweet is hateful because it mocks and ridicules lesbians. It's also homophobic because it suggests that being a lesbian is something to be laughed at."
49,NormalNormalHate,why niggas worry bout me when i do not even checc on them faggots,"

1. ""Niggas"" is a derogatory term for black people.

2. ""Worry bout me"" - this suggests that the tweeter is self-centered and doesn't care about anyone else.

3. ""When I do not even checc on them"" - this suggests that the tweeter is not interested in maintaining relationships with other people, and that they view other people as expendable.

4. ""Faggots"" is a derogatory term for gay men.

This tweet is hateful because it is racist and homophobic. It's dehumanizing and insulting to both black people and gay men."
50,NormalHateHate,<user> <number> americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,"

The tweet implies that all illegal immigrants are responsible for the death of Americans. It's painting all illegal immigrants with a broad brush and suggesting that they are all criminals. This is not only untrue, but it's also racist. It's perpetuating the harmful stereotype that all immigrants are criminals."
51,NormalHateHate,<user> how many zionist jews die,"

1. ""Zionist"" is a loaded word that is often used to describe people who support the state of Israel. 

2. ""Jews"" is a loaded word that is often used to describe people of Jewish descent. 

3. ""Die"" is a loaded word that is often used to describe death. 

In conclusion, this tweet is hateful because it suggests that the tweeter wishes for people who support the state of Israel to die."
52,NormalHateHate,some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha,"

1. ""some girls going around exposing ppl"" - this could be referring to girls who are exposing people's secrets, or it could be referring to girls who are exposing their bodies. Either way, it's a generalization and it's sexist. 

2. ""aib beh kene sikit nk ching chong lebih"" - this is a racist statement. ""Ching chong"" is a derogatory term used to describe people of Chinese descent, and he's saying that it's a bad thing. He's also implying that Chinese people are inferior to other people. 

3. ""haha"" - this is a mocking and dismissive tone. He's making fun of Chinese people and suggesting that they're not worth his time."
53,NormalHateHate,but i am just not even entertaining stupid nigger logic anymore today lmaoo,"

The word ""nigger"" is a racial slur that has been used to oppress and dehumanize black people for centuries. So, when this person says that they're not ""entertaining"" ""stupid nigger logic,"" they're implying that black people are stupid and that their opinions are not worth listening to. This is clearly a racist statement."
54,NormalHateHate,<user> <user> <user> atleast ur country is secular pakistan is a muslim country nd they produces terrorists,"

1. ""At least"" suggests that the tweeter thinks that being secular is better than being a Muslim country. This is Islamophobic because it implies that Islam is bad and that Muslim countries are inherently dangerous. 

2. ""Pakistan is a Muslim country"" - this is a statement of fact, not an opinion. 

3. ""and they produces terrorists"" - this is a generalization and therefore untrue. It's also Islamophobic because it implies that all Muslims are terrorists."
55,NormalHateHate,<user> <user> you can also decide not to like the niggeress too 🤷 🏽 ‍ ♀️,"

The tweet is saying that the person can choose not to like the ""niggeress"" (a racist term used to describe a black woman). It's implying that the person doesn't have to like black women, and that they're not worth his time. This is dehumanizing and racist."
56,NormalHateHate,<user> <user> <user> i d kill all the niggers aii lmao good luck with that,"

1. ""I'd kill all the niggers"" - this is a clear statement of hatred towards black people. He's saying that he would like to kill them all, which is clearly a hateful thing to say. 

2. ""aii lmao good luck with that"" - this is a mocking and condescending statement. He's essentially saying that it's a good thing that he's not going to kill all the black people, and that whoever does try to do that is going to have a lot of difficulty."
57,NormalHateHate,<user> <user> check out the hook nose on flake,"

1. ""Hook nose"" is a derogatory term used to describe Jewish people. 

2. ""Flake"" is a reference to Jeff Flake, who is a senator from Arizona. 

3. The tweeter is suggesting that Jeff Flake is Jewish because of his nose. 

This tweet is hateful because it is anti-Semitic. It's using a derogatory term to describe Jewish people, and it's suggesting that Jeff Flake is Jewish because of his nose."
58,NormalHateHate,skrt skrt skrt sirop stripper pole fuck with us this nigger forever,"

1. ""skrt skrt skrt"" is onomatopoeia for the sound of a car's tires screeching. It's often used in rap songs to talk about fast cars or to boast about being a good driver. 

2. ""sirop"" is a misspelling of the word ""syrup."" It's often used in rap songs to talk about codeine, a drug that is often abused. 

3. ""stripper pole"" is a reference to a pole that strippers dance around. It's often used in rap songs to talk about stripping or to objectify women. 

4. ""fuck with us"" is a profanity that means ""fuck with us."" It's often used in rap songs to talk about violence or to boast about being tough. 

5. ""this nigger forever"" is a profanity that means ""fuck this nigger forever."" It's a racist and hateful statement"
59,NormalHateHate,<user> i hate you 😂 💀 💀 💀 💀 😭 😭 😭,"

The person who wrote this tweet is saying that they hate the user. They're also using laughing emojis, which suggests that they find the user's pain amusing. This is a clear example of hate speech."
60,NormalHateHate,is it ok for white people to use the word nigger,"

1. ""Nigger"" is a slur that is used to demean and dehumanize black people. 

2. ""White people"" are the group of people who are typically in positions of power and privilege. 

3. ""Use"" in this context suggests that the speaker is using the word nigger themselves. 

This tweet is hateful because it suggests that it is acceptable for white people to use a word that is deeply hurtful and offensive to black people. It's perpetuating racism and contributing to a culture of bigotry."
61,NormalHateHate,duh kpop stans fetishize asians but its rly disturbing every time i see it blerghb,"

1. ""Kpop stans"" is a loaded term that is often used to describe people who are fans of Korean pop music.

2. ""Fetishize"" is a loaded term that is often used to describe people who are attracted to people of a certain race or ethnicity.

3. ""Asians"" is a loaded term that is often used to describe people of East Asian descent.

4. ""Blerghb"" is an onomatopoeia that suggests that the tweeter is disgusted by what they're seeing.

In conclusion, this tweet is hateful because it implies that people who are fans of Korean pop music are attracted to people of East Asian descent, and it suggests that the tweeter is disgusted by this."
62,NormalHateHate,<user> supporting terrorists wont get you anywhere so stop playing victim muzzie game,"

1. ""Supporting terrorists"" is a loaded phrase that suggests that the person being talked to is doing something wrong.

2. ""Wont get you anywhere"" suggests that the person being talked to is wasting their time.

3. ""Stop playing victim muzzie game"" is a racist and Islamophobic statement. It suggests that Muslims are somehow responsible for terrorism, and that they are playing the victim in order to get sympathy. This is not only untrue, but it's also dangerous and hateful."
63,NormalHateHate,i did not expect something kike that holy shit i t looks so good,"

""Kike"" is a derogatory term for a Jewish person. So, the person who wrote this tweet is using an anti-Semitic slur. 

In addition, the tweet implies that the person was surprised that something made by a Jewish person could be good. This is perpetuating the stereotype that Jewish people are not talented or skilled."
64,NormalHateHate,<user> will a porch monkey banana suffice,"

The term ""porch monkey"" is a racist slur that is used to describe black people. It's derived from the stereotype that black people are lazy and like to sit on porches all day. 

The term ""banana"" is also a racist slur that is used to describe black people. It's derived from the stereotype that black people are stupid and eat a lot of bananas. 

So, this tweet is racist because it's using two racist slurs to describe black people."
65,NormalHateHate,niggers whom st release seminal fluid,"

1. ""Niggers"" is a racist slur that is used to dehumanize and degrade black people.

2. ""Whom"" is a grammatically incorrect way of saying ""who.""

3. ""St"" is an abbreviation for ""semen.""

4. ""Release"" is a synonym for ""ejaculate.""

This tweet is racist and sexist. It's degrading black people and suggesting that their only purpose is to ejaculate. This is dehumanizing and objectifying."
66,NormalHateHate,this nigger just saved the uk,"

1. ""Nigger"" is a racist slur that should never be used.

2. ""Just saved the UK"" implies that the person who wrote this tweet thinks that black people are responsible for saving the UK, which suggests that the tweeter thinks that black people are inferior to white people."
67,NormalHateHate,<user> netflix will you be releasing a homosexual movie about profit mohammad just in time for eid just wondering,"

1. ""Homosexual movie"" - this suggests that the only kind of movie that Netflix could release about Muhammad is one that is focused on his sexuality. This is not only homophobic, but it's also disrespectful to Muslims. 

2. ""Profit Muhammad"" - this is a play on words that is meant to be insulting. It's a way of saying that Muhammad was only interested in profit, and that he was not a good person. 

3. ""Eid"" - this is the Muslim holiday of Eid al-Fitr. 

4. ""Just wondering"" - this is sarcastic. The person who wrote this tweet is not actually curious about whether or not Netflix will release a movie about Muhammad. They are mocking the idea, and they are mocking Muslims."
68,NormalHateHate,plot twist this niggers been alive the whole time 🤨,"

1. ""Niggers"" is a derogatory term used to refer to black people. 

2. ""Been alive the whole time"" implies that the person who wrote this tweet believes that black people are not really alive, or that their lives are not as valuable as the lives of other people. 

3. The use of the word ""niggers"" and the implication that black people are not really alive are both racist and hateful."
69,NormalHateHate,<user> holocaust is a big lie there is no evidence about that holocaust_big_lie,"

1. ""Holocaust"" is a loaded word that is often used to describe the genocide in which Nazi Germany killed six million Jews. 

2. ""Big lie"" is a loaded phrase that is often used to describe a false story that is spread in order to deceive people. 

3. ""There is no evidence about that"" suggests that the tweeter does not believe that the Holocaust happened, which is a common Holocaust denial tactic. 

4. ""Holocaust_big_lie"" is the username of a website that is dedicated to Holocaust denial. 

In conclusion, this tweet is hateful because it suggests that the Holocaust did not happen, and it links to a website that is dedicated to Holocaust denial."
70,NormalHateHate,towel head ass,"

""Towel head"" is a racist slur that is used to describe people from the Middle East. It's a derogatory term that is used to dehumanize and demean people. 

""Ass"" is a vulgar term that is used to describe someone who is stupid or worthless. 

So, this tweet is racist and degrading. It's hateful because it's using racist language to insult and demean someone."
71,NormalHateHate,stg i fucking hate white girls yo,"

1. ""STG"" is an acronym for ""swear to God."" So the person who wrote this tweet is swearing that they hate white girls. 

2. ""Yo"" is a slang term for ""I."" So the person who wrote this tweet is saying ""I hate white girls."" 

3. This is a generalization and therefore already racist. He's lumping all white girls together and making a negative statement about them. 

This tweet is racist because it's making a negative generalization about all white girls. It's dehumanizing and objectifying white girls, and it's perpetuating harmful stereotypes."
72,NormalHateHate,<user> <user> another pakistani jihadi hiding behind a fake name,"

1. ""Pakistani"" is a loaded word that is often used to describe people from Pakistan.

2. ""Jihadi"" is a loaded word that is often used to describe Islamic terrorists.

3. ""Hiding behind a fake name"" suggests that the person is trying to conceal their identity because they are doing something wrong or illegal. This is an accusation without any evidence to back it up, and it's a way of Othering and demonizing Pakistanis."
73,NormalHateHate,niki is a faggot i love them,"

This tweet is hateful because it is using a homophobic slur against someone. It's also implying that being gay is a bad thing. This is harmful to the LGBTQ+ community and it's not ok."
74,NormalHateHate,fuck them white kids,"

1. ""fuck them white kids"" - this is a profanity-laced statement that is directed at a group of people based on their race. 

2. ""fuck"" is a vulgar word that is often used to express hatred or anger. 

3. ""them"" suggests that the tweeter does not see white kids as individuals, but rather as a faceless and homogeneous group. 

4. ""fuck"" also has connotations of violence, so the tweeter is essentially saying that they want to hurt white kids. 

This tweet is hateful because it is a profanity-laced statement that is directed at a group of people based on their race. It suggests that the tweeter does not see white kids as individuals, but rather as a faceless and homogeneous group."
75,HateHateHate,<user> stupid nigger kill yourself,"

1. ""Stupid"" is an insult.

2. ""Nigger"" is a racial slur.

3. ""Kill yourself"" is a violent threat.

This tweet is hateful because it is racist and violent. It's insulting and degrading to black people, and it's telling the user to kill themselves."
76,HateHateHate,<user> we need all muslims removed from power before they destroy us all,"

1. ""We need all Muslims removed from power"" - this is a clear statement of bigotry and discrimination against an entire group of people based on their religion. 

2. ""before they destroy us all"" - this is a fearmongering statement that suggests that all Muslims are terrorists who want to destroy the tweeter and everyone else. This is not only Islamophobic but it's also racist."
77,HateHateHate,<user> <user> get this nigger out of here,"

1. ""Nigger"" is a racist slur that should never be used.

2. ""Get this nigger out of here"" implies that the person who wrote this tweet thinks that black people are not welcome, and that they should be removed from wherever they are. 

This tweet is racist and hateful because it uses a racial slur and implies that black people are not welcome."
78,HateHateHate,<user> the trump woman must be raped 😠 😠 😠 😠 💩 💩 💩 💩,"

1. ""The Trump woman"" - this is a sexist statement because it implies that all women who support Trump are nothing more than sexual objects. 

2. ""must be raped"" - this is a violent and degrading statement. It's suggesting that the only way to deal with a Trump supporter is to rape them. This is not only sexist, but it's also incredibly harmful and hateful."
